task	variant	formal_score	repeat_score	delta
metamath	magicoder__original_hns	0.624715693707354	0.624715693707354	0.0
metamath	magicoder__original_lora	0.5640636846095527	0.5640636846095527	0.0
metamath	metamath__common_hns	0.8081880212282032	0.8081880212282032	0.0
metamath	metamath__common_lora	0.7748294162244125	0.7748294162244125	0.0
metamath	metamath__common_per_module	0.7763457164518575	0.7763457164518575	0.0
metamath	metamath__original_hns	0.8043972706595905	0.8043972706595905	0.0
metamath	metamath__original_lora	0.7710386656557998	0.7710386656557998	0.0
metamath	tulu__common_hns	0.6641394996209249	0.6641394996209249	0.0
metamath	tulu__common_lora	0.5943896891584534	0.5943896891584534	0.0
metamath	tulu__common_per_module	0.6444275966641395	0.6444275966641395	0.0
metamath	tulu__original_hns	0.6603487490523123	0.6603487490523123	0.0
metamath	tulu__original_lora	0.5678544351781653	0.5678544351781653	0.0
tulu	base	0.6210720887245841	0.6210720887245841	0.0
tulu	commonsense__common_hns	0.49168207024029575	0.49168207024029575	0.0
tulu	commonsense__common_lora	0.32532347504621073	0.32532347504621073	0.0
tulu	commonsense__common_per_module	0.4029574861367837	0.4029574861367837	0.0
tulu	commonsense__original_hns	0.4787430683918669	0.4787430683918669	0.0
tulu	commonsense__original_lora	0.32532347504621073	0.32532347504621073	0.0
tulu	magicoder__common_hns	0.5970425138632163	0.5970425138632163	0.0
tulu	magicoder__common_lora	0.5674676524953789	0.5674676524953789	0.0
tulu	magicoder__common_per_module	0.5526802218114603	0.5526802218114603	0.0
tulu	magicoder__original_hns	0.5951940850277264	0.5951940850277264	0.0
tulu	magicoder__original_lora	0.5545286506469501	0.5545286506469501	0.0
tulu	metamath__common_hns	0.5951940850277264	0.5951940850277264	0.0
tulu	metamath__common_lora	0.5619223659889094	0.5619223659889094	0.0
tulu	metamath__common_per_module	0.5748613678373382	0.5748613678373382	0.0
tulu	metamath__original_hns	0.5859519408502772	0.5859519408502772	0.0
tulu	metamath__original_lora	0.5434380776340111	0.5434380776340111	0.0
tulu	tulu__common_hns	0.6506469500924215	0.6506469500924215	0.0
tulu	tulu__common_lora	0.6266173752310537	0.6266173752310537	0.0
tulu	tulu__common_per_module	0.6506469500924215	0.6506469500924215	0.0
tulu	tulu__original_hns	0.6432532347504621	0.6432532347504621	0.0
tulu	tulu__original_lora	0.6321626617375231	0.6321626617375231	0.0
commonsense	base	0.713917020346049	0.713917020346049	0.0
commonsense	commonsense__common_hns	0.8766370288914633	0.8766370288914633	0.0
commonsense	commonsense__common_lora	0.8798154748360931	0.8798154748360931	0.0
commonsense	commonsense__common_per_module	0.8837846804507218	0.8837846804507218	0.0
commonsense	commonsense__original_hns	0.8758559592618774	0.8758559592618774	0.0
commonsense	commonsense__original_lora	0.8795895457536193	0.8795895457536193	0.0
commonsense	magicoder__common_hns	0.7037349052047899	0.7037349052047899	0.0
commonsense	magicoder__common_lora	0.6905252497516037	0.6905252497516037	0.0
commonsense	magicoder__common_per_module	0.6972503073011441	0.6972503073011441	0.0
commonsense	magicoder__original_hns	0.7046059632921794	0.7046059632921794	0.0
commonsense	magicoder__original_lora	0.6910028349871595	0.6910028349871595	0.0
commonsense	metamath__common_hns	0.6964724293862639	0.6964724293862639	0.0
commonsense	metamath__common_lora	0.6501614357969798	0.6501614357969798	0.0
commonsense	metamath__common_per_module	0.6639435706674255	0.6639435706674255	0.0
commonsense	metamath__original_hns	0.6967705287913811	0.6967705287913811	0.0
commonsense	metamath__original_lora	0.6503916506071838	0.6503916506071838	0.0
commonsense	tulu__common_hns	0.7050443485759772	0.7050443485759772	0.0
commonsense	tulu__common_lora	0.7118565907102112	0.7118565907102112	0.0
commonsense	tulu__common_per_module	0.7074076829052167	0.7074076829052167	0.0
commonsense	tulu__original_hns	0.7032469293727327	0.7032469293727327	0.0
commonsense	tulu__original_lora	0.7127823483564126	0.7127823483564126	0.0
